1787382817236, ::1, /api/users, POST 
1787382867909, ::1, /api/users, GET 
1787382888328, ::1, /api/users, GET 
1787382894387, ::1, /api/users, POST 
1787382980026, ::1, /api/users/6a894c6e4a7ff29658b4836f, GET 
1787383025644, ::1, /api/users/6a882840ba4caf0af03191b9, DELETE 
1787383029495, ::1, /api/users, GET 
1787383162700, ::1, /, GET 
1787383164457, ::1, /, GET 
1787383168787, ::1, /users, GET 
1787383170852, ::1, /users, GET 
1787383177503, ::1, /api/users, GET 
1787383179933, ::1, /favicon.ico, GET 
1787383400118, ::1, /api/users, GET 
1787383404951, ::1, /, GET 
1787383408024, ::1, /users, GET 
1787383419796, ::1, /users, GET 
1787383748858, ::1, /api/users, GET 
1787383760659, ::1, /api/users/6a894c6e4a7ff29658b4836f, GET 
